Customer_ID,first_order,last_order,total_orders,total_revenue,avg_order_value,Customer_Name,Segment,Region,tenure_days,recency_days,orders_per_year
AA-10315,2015-03-31,2018-06-29,5,5090484,1018096.8,Alex Avila,Consumer,Central,1186,184,1.54
AA-10375,2015-04-21,2018-12-11,9,165678,18408.666666666668,Allen Armold,Consumer,West,1330,19,2.47
AA-10480,2015-05-04,2018-04-15,4,193048,48262.0,Andrew Allen,Consumer,South,1077,259,1.36
AA-10645,2015-06-22,2018-11-05,6,1737756,289626.0,Anna Andreadi,Consumer,East,1232,55,1.78
AB-10015,2015-02-18,2017-11-10,3,143818,47939.333333333336,Aaron Bergman,Consumer,West,996,415,1.1
AB-10060,2016-09-18,2018-11-06,8,5110574,638821.75,Adam Bellavance,Home Office,East,779,54,3.75
AB-10105,2015-12-20,2018-11-19,10,2898788,289878.8,Adrian Barton,Consumer,West,1065,41,3.43
AB-10150,2015-03-05,2018-11-19,5,280163,56032.6,Aimee Bixby,Consumer,East,1355,41,1.35
AB-10165,2015-11-16,2018-12-05,8,397663,49707.875,Alan Barnes,Consumer,West,1115,25,2.62
AB-10255,2015-07-22,2018-07-17,9,583602,64844.666666666664,Alejandro Ballentine,Home Office,East,1091,166,3.01
AB-10600,2015-11-18,2018-11-10,4,1494514,373628.5,Ann Blume,Corporate,West,1088,50,1.34
AC-10420,2015-07-12,2018-05-12,3,779856,259952.0,Alyssa Crouse,Corporate,West,1035,232,1.06
AC-10450,2015-10-31,2018-12-19,7,1285192,183598.85714285713,Amy Cox,Consumer,Central,1145,11,2.23
AC-10615,2016-09-15,2018-12-24,5,625708,125141.6,Ann Chong,Corporate,East,830,6,2.2
AC-10660,2015-10-15,2018-03-23,5,625024,125004.8,Anna Chung,Consumer,Central,890,282,2.05
AD-10180,2015-11-19,2018-12-01,8,1197155,149644.375,Alan Dominguez,Home Office,Central,1108,29,2.64
AF-10870,2016-12-06,2018-11-19,7,680012,97144.57142857143,Art Ferguson,Consumer,Central,713,41,3.58
AF-10885,2015-05-10,2017-11-10,4,493735,123433.75,Art Foster,Consumer,South,915,415,1.6
AG-10270,2015-05-13,2018-03-27,5,226563,45312.6,Alejandro Grove,Consumer,West,1049,278,1.74
AG-10300,2015-04-26,2018-09-03,4,53214,13303.5,Aleksandra Gannaway,Corporate,West,1226,118,1.19
AG-10330,2017-08-03,2018-12-22,5,77502,15500.4,Alex Grayson,Consumer,West,506,8,3.61
AG-10390,2015-04-19,2018-09-07,5,52508,10501.6,Allen Goldenen,Consumer,East,1237,114,1.48
AG-10495,2016-01-04,2018-10-13,7,785557,112222.42857142857,Andrew Gjertsen,Corporate,East,1013,78,2.52
AG-10525,2015-08-09,2016-09-07,4,749681,187420.25,Andy Gerbode,Corporate,South,395,844,3.7
AG-10675,2016-05-07,2018-09-24,7,24906012,3558001.714285714,Anna Gayman,Consumer,Central,870,97,2.94
AG-10765,2015-09-17,2018-10-14,4,48949,12237.25,Anthony Garverick,Home Office,East,1123,77,1.3
AG-10900,2015-07-23,2018-09-25,10,2476212,247621.2,Arthur Gainer,Consumer,West,1160,96,3.15
AH-10030,2015-04-22,2018-12-18,7,464630,66375.71428571429,Aaron Hawkins,Corporate,East,1336,12,1.91
AH-10075,2015-11-16,2018-11-26,10,2343506,234350.6,Adam Hart,Corporate,East,1106,34,3.3
AH-10120,2015-07-18,2018-10-31,7,559349,79907.0,Adrian Hane,Home Office,West,1201,60,2.13
AH-10195,2016-03-05,2018-11-05,4,707693,176923.25,Alan Haines,Corporate,South,975,55,1.5
AH-10210,2015-11-29,2018-12-24,9,476065,52896.11111111111,Alan Hwang,Consumer,West,1121,6,2.93
AH-10465,2016-01-03,2018-05-14,5,13672749,2734549.8,Amy Hunt,Consumer,East,862,230,2.12
AH-10585,2015-10-26,2018-12-09,4,85050,21262.5,Angele Hood,Consumer,Central,1140,21,1.28
AH-10690,2015-04-02,2017-11-15,12,2616481,218040.08333333334,Anna Häberlin,Corporate,East,958,410,4.57
AI-10855,2015-04-28,2018-12-17,10,729058,72905.8,Arianne Irving,Consumer,East,1329,13,2.75
AJ-10780,2015-01-10,2018-10-16,7,2037924,291132.0,Anthony Jacobs,Corporate,South,1375,75,1.86
AJ-10795,2015-05-14,2018-07-17,7,2608313,372616.14285714284,Anthony Johnson,Corporate,South,1160,166,2.2
AJ-10945,2015-03-03,2018-08-31,6,191779,31963.166666666668,Ashley Jarboe,Consumer,South,1277,121,1.71
AJ-10960,2015-09-14,2018-10-17,3,94828,31609.333333333332,Astrea Jones,Consumer,East,1129,74,0.97
AM-10360,2015-10-06,2018-12-02,5,216034,43206.8,Alice McCarthy,Corporate,Central,1153,28,1.58
AM-10705,2015-10-31,2018-07-21,8,742669,92833.625,Anne McFarland,Consumer,South,994,162,2.94
