Customer_ID,Customer_Name,Segment,Region,recency_days,total_orders,total_revenue,R_score,F_score,M_score,RFM_score,RFM_Segment
AA-10315,Alex Avila,Consumer,Central,184,5,5090484,2,2,5,225,Lost / Hibernating
AA-10375,Allen Armold,Consumer,West,19,9,165678,5,5,1,551,Needs Attention
AA-10480,Andrew Allen,Consumer,South,259,4,193048,1,1,1,111,Lost / Hibernating
AA-10645,Anna Andreadi,Consumer,East,55,6,1737756,3,3,4,334,Loyal
AB-10015,Aaron Bergman,Consumer,West,415,3,143818,1,1,1,111,Lost / Hibernating
AB-10060,Adam Bellavance,Home Office,East,54,8,5110574,3,4,5,345,Loyal
AB-10105,Adrian Barton,Consumer,West,41,10,2898788,4,5,5,455,Champions
AB-10150,Aimee Bixby,Consumer,East,41,5,280163,4,2,2,422,New / Promising
AB-10165,Alan Barnes,Consumer,West,25,8,397663,5,4,2,542,Needs Attention
AB-10255,Alejandro Ballentine,Home Office,East,166,9,583602,2,5,2,252,At-Risk
AB-10600,Ann Blume,Corporate,West,50,4,1494514,4,1,4,414,New / Promising
AC-10420,Alyssa Crouse,Corporate,West,232,3,779856,1,1,3,113,Lost / Hibernating
AC-10450,Amy Cox,Consumer,Central,11,7,1285192,5,3,4,534,Loyal
AC-10615,Ann Chong,Corporate,East,6,5,625708,5,2,2,522,New / Promising
AC-10660,Anna Chung,Consumer,Central,282,5,625024,1,2,2,122,Lost / Hibernating
AD-10180,Alan Dominguez,Home Office,Central,29,8,1197155,4,4,4,444,Champions
AF-10870,Art Ferguson,Consumer,Central,41,7,680012,4,3,3,433,Loyal
AF-10885,Art Foster,Consumer,South,415,4,493735,1,1,2,112,Lost / Hibernating
AG-10270,Alejandro Grove,Consumer,West,278,5,226563,1,2,1,121,Lost / Hibernating
AG-10300,Aleksandra Gannaway,Corporate,West,118,4,53214,2,1,1,211,Lost / Hibernating
AG-10330,Alex Grayson,Consumer,West,8,5,77502,5,2,1,521,New / Promising
AG-10390,Allen Goldenen,Consumer,East,114,5,52508,2,2,1,221,Lost / Hibernating
AG-10495,Andrew Gjertsen,Corporate,East,78,7,785557,3,3,3,333,Loyal
AG-10525,Andy Gerbode,Corporate,South,844,4,749681,1,1,3,113,Lost / Hibernating
AG-10675,Anna Gayman,Consumer,Central,97,7,24906012,3,3,5,335,Loyal
AG-10765,Anthony Garverick,Home Office,East,77,4,48949,3,1,1,311,Needs Attention
AG-10900,Arthur Gainer,Consumer,West,96,10,2476212,3,5,5,355,Loyal
AH-10030,Aaron Hawkins,Corporate,East,12,7,464630,5,3,2,532,Needs Attention
AH-10075,Adam Hart,Corporate,East,34,10,2343506,4,5,5,455,Champions
AH-10120,Adrian Hane,Home Office,West,60,7,559349,3,3,2,332,Needs Attention
AH-10195,Alan Haines,Corporate,South,55,4,707693,3,1,3,313,Needs Attention
AH-10210,Alan Hwang,Consumer,West,6,9,476065,5,5,2,552,Needs Attention
AH-10465,Amy Hunt,Consumer,East,230,5,13672749,1,2,5,125,Lost / Hibernating
AH-10585,Angele Hood,Consumer,Central,21,4,85050,5,1,1,511,New / Promising
AH-10690,Anna Häberlin,Corporate,East,410,12,2616481,1,5,5,155,At-Risk High Value
AI-10855,Arianne Irving,Consumer,East,13,10,729058,5,5,3,553,Loyal
AJ-10780,Anthony Jacobs,Corporate,South,75,7,2037924,3,3,5,335,Loyal
AJ-10795,Anthony Johnson,Corporate,South,166,7,2608313,2,3,5,235,At-Risk
AJ-10945,Ashley Jarboe,Consumer,South,121,6,191779,2,3,1,231,At-Risk
AJ-10960,Astrea Jones,Consumer,East,74,3,94828,3,1,1,311,Needs Attention
AM-10360,Alice McCarthy,Corporate,Central,28,5,216034,4,2,1,421,New / Promising
AM-10705,Anne McFarland,Consumer,South,162,8,742669,2,4,3,243,At-Risk
AO-10810,Anthony O'Donnell,Corporate,West,501,1,16128,1,1,1,111,Lost / Hibernating
AP-10720,Anne Pryor,Home Office,East,41,6,226657,4,3,1,431,Needs Attention
AP-10915,Arthur Prichep,Consumer,South,98,10,1015605,3,5,3,353,Loyal
AR-10345,Alex Russell,Corporate,East,111,4,957954,2,1,3,213,Lost / Hibernating
AR-10405,Allen Rosenblatt,Corporate,East,125,5,1780827,2,2,4,224,Lost / Hibernating
AR-10510,Andrew Roberts,Consumer,East,14,5,120711,5,2,1,521,New / Promising
